,Ethyl acetate Methyl salicylate ,
Raman shift [1/cm],Intensity,
2909.174,0.24426,
2907.782,0.16867,
2906.389,0.18114,
2904.997,0.19081,
2903.605,0.17744,
2902.212,0.15884,
2900.820,0.17504,
2899.428,0.16627,
2898.035,0.13485,
2896.643,0.14653,
2895.251,0.13916,
2893.858,0.13384,
2892.466,0.12879,
2891.074,0.064869,
2889.681,0.14537,
2888.289,0.13451,
2886.897,0.10182,
2885.504,0.14143,
2884.112,0.097732,
2882.720,0.11072,
2881.327,0.13352,
2879.935,0.11269,
2878.543,0.14369,
2877.150,0.11964,
2875.758,0.13888,
2874.366,0.091224,
2872.973,0.17179,
2871.581,0.07256,
2870.189,0.090684,
2868.796,0.082207,
2867.404,0.066371,
2866.012,0.080526,
2864.619,0.056504,
2863.227,0.036942,
2861.835,0.064037,
2860.442,0.056193,
2859.050,0.035815,
2857.658,0.077283,
2856.265,0.072777,
2854.873,0.080966,
2853.481,0.070265,
2852.088,0.062709,
2850.696,0.10919,
2849.304,0.054607,
2847.911,0.051102,
2846.519,0.086889,
2845.127,0.049681,
2843.734,0.065563,
2842.342,0.024318,
2840.950,-0.015181,
2839.557,0.043848,
2838.165,0.020074,
2836.773,0.038719,
2835.380,0.044203,
2833.988,0.029601,
2832.596,0.038937,
2831.203,0.019093,
2829.811,0.062882,
2828.419,0.04088,
2827.027,0.012911,
2825.634,0.028036,
2824.242,0.019012,
2822.850,0.010325,
2821.457,0.031481,
2820.065,0.014935,
2818.673,0.028706,
2817.280,0.022098,
2815.888,0.012184,
2814.496,0.042458,
2813.103,0.0065701,
2811.711,0.016704,
2810.319,0.035117,
2808.926,0.049662,
2807.534,0.031696,
2806.142,-0.015421,
2804.749,0.057201,
2803.357,0.02026,
2801.965,0.0062345,
2800.572,0.035117,
2799.180,-0.00094846,
2797.788,0.022075,
2796.395,0.018169,
2795.003,0.039579,
2793.611,0.033149,
2792.218,0.037823,
2790.826,0.01452,
2789.434,-0.0051852,
2788.041,0.026691,
2786.649,0.027179,
2785.257,0.038765,
2783.864,0.035916,
2782.472,0.0024783,
2781.080,0.059296,
2779.687,0.0373,
2778.295,-0.003164,
2776.903,-0.0037906,
2775.510,0.010997,
2774.118,0.024939,
2772.726,0.019639,
2771.333,0.040419,
2769.941,0.01243,
2768.549,0.01812,
2767.156,0.020709,
2765.764,0.02127,
2764.372,0.015228,
2762.979,0.0018646,
2761.587,0.017752,
2760.195,0.0096831,
2758.802,0.041747,
2757.410,0.027515,
2756.018,0.012306,
2754.625,0.013586,
2753.233,0.030508,
2751.841,0.01812,
2750.448,0.016821,
2749.056,0.038206,
2747.664,0.012611,
2746.272,0.0012754,
2744.879,0.028258,
2743.487,0.0035853,
2742.095,0.015892,
2740.702,0.019878,
2739.310,0.060634,
2737.918,0.018595,
2736.525,0.034581,
2735.133,-0.0034097,
2733.741,0.041639,
2732.348,0.027339,
2730.956,0.012794,
2729.564,0.025453,
2728.171,0.025867,
2726.779,0.052948,
2725.387,0.0021837,
2723.994,0.025901,
2722.602,0.027154,
2721.210,0.04581,
2719.817,0.031723,
2718.425,0.018723,
2717.033,0.025717,
2715.640,-0.014398,
2714.248,0.035287,
2712.856,0.018048,
2711.463,0.040539,
2710.071,0.0068218,
2708.679,0.019222,
2707.286,0.015142,
2705.894,0.017471,
2704.502,0.020055,
2703.109,0.013996,
2701.717,0.009479,
2700.325,0.026178,
2698.932,0.004685,
2697.540,-0.027608,
2696.148,0.017614,
2694.755,-0.00082292,
2693.363,0.026865,
2691.971,0.0047199,
2690.578,0.036317,
2689.186,-0.017626,
2687.794,0.016811,
2686.401,0.023094,
2685.009,0.0055376,
2683.617,0.009069,
2682.224,-0.0033776,
2680.832,-0.0013887,
2679.440,-0.0059696,
2678.047,0.015894,
2676.655,0.0070103,
2675.263,0.013285,
2673.870,-0.0007572,
2672.478,0.010361,
2671.086,0.0054409,
2669.693,0.0153,
2668.301,-0.010666,
2666.909,0.0017351,
2665.517,-0.018403,
2664.124,0.005519,
2662.732,-0.017318,
2661.340,0.0044592,
2659.947,-0.01754,
2658.555,0.0051608,
2657.163,0.0061932,
2655.770,0.018964,
2654.378,-0.0053958,
2652.986,0.0056681,
2651.593,0.0096437,
2650.201,0.003301,
2648.809,-0.0038209,
2647.416,-0.011788,
2646.024,0.0025105,
2644.632,-0.0061225,
2643.239,0.017563,
2641.847,0.0030994,
2640.455,0.017442,
2639.062,0.025165,
2637.670,0.014587,
2636.278,0.001377,
2634.885,0.017461,
2633.493,-0.0026243,
2632.101,0.017258,
2630.708,0.0024346,
2629.316,0.029809,
2627.924,0.017977,
2626.531,0.015566,
2625.139,0.001139,
2623.747,0.033439,
2622.354,-0.005449,
2620.962,0.022609,
2619.570,0.02465,
2618.177,0.021187,
2616.785,-0.013213,
2615.393,0.033207,
2614.000,-0.0046967,
2612.608,0.024323,
2611.216,0.00050631,
2609.823,0.021668,
2608.431,-0.0022005,
2607.039,0.016122,
2605.646,0.017373,
2604.254,0.045415,
2602.862,-0.0039933,
2601.469,0.0005029,
2600.077,0.0039998,
2598.685,0.017123,
2597.292,0.013781,
2595.900,0.016627,
2594.508,0.011097,
2593.115,0.016017,
2591.723,0.00084805,
2590.331,0.020071,
2588.938,0.00076767,
2587.546,-0.0047566,
2586.154,0.0093038,
2584.762,0.028179,
2583.369,0.0034112,
2581.977,0.029491,
2580.585,-0.019253,
2579.192,0.0059324,
2577.800,-0.011299,
2576.408,0.018206,
2575.015,0.0096551,
2573.623,0.018206,
2572.231,0.013411,
2570.838,0.00050449,
2569.446,0.0087067,
2568.054,0.0087165,
2566.661,0.00087477,
2565.269,0.0081098,
2563.877,0.0025548,
2562.484,0.0025938,
2561.092,-0.010912,
2559.700,-0.0033652,
2558.307,0.011179,
2556.915,-0.0046502,
2555.523,0.0035985,
2554.130,-0.0048602,
2552.738,0.0067248,
2551.346,-0.0057665,
2549.953,0.012165,
2548.561,0.010323,
2547.169,0.016962,
2545.776,0.011839,
2544.384,0.026157,
2542.992,-0.00016593,
2541.599,0.02059,
2540.207,-0.0039531,
2538.815,0.012585,
2537.422,0.014526,
2536.030,0.0095984,
2534.638,0.0084655,
2533.245,0.011819,
2531.853,0.0067943,
2530.461,0.0049521,
2529.068,-0.0028812,
2527.676,0.015896,
2526.284,0.037026,
2524.891,0.0074217,
2523.499,0.0096356,
2522.107,0.016169,
2520.714,0.011041,
2519.322,-0.019649,
2517.930,0.017631,
2516.537,0.013521,
2515.145,0.014658,
2513.753,0.0016858,
2512.360,0.018043,
2510.968,0.00074635,
2509.576,0.010877,
2508.183,0.0057165,
2506.791,0.0066991,
2505.399,0.0052234,
2504.007,0.013264,
2502.614,0.012569,
2501.222,0.0031805,
2499.830,0.0069404,
2498.437,-0.016477,
2497.045,0.0098306,
2495.653,-0.0014696,
2494.260,0.0044696,
2492.868,-8.386E-5,
2491.476,0.021923,
2490.083,-0.0071247,
2488.691,0.014058,
2487.299,-0.0036856,
2485.906,-0.00059444,
2484.514,-0.0010624,
2483.122,-0.0023024,
2481.729,0.021114,
2480.337,-4.3324E-5,
2478.945,0.019483,
2477.552,-0.014643,
2476.160,0.030005,
2474.768,0.0066243,
2473.375,0.005951,
2471.983,-0.014373,
2470.591,0.010603,
2469.198,0.0070116,
2467.806,0.0033486,
2466.414,0.010728,
2465.021,0.012927,
2463.629,0.00082881,
2462.237,0.0074956,
2460.844,0.014594,
2459.452,-0.0066538,
2458.060,0.016619,
2456.667,-0.0061656,
2455.275,0.024605,
2453.883,0.0012944,
2452.490,-0.0013872,
2451.098,0.0093781,
2449.706,0.0081244,
2448.313,0.02977,
2446.921,0.010244,
2445.529,-0.0022754,
2444.136,0.0071159,
2442.744,0.01564,
2441.352,0.013715,
2439.959,-0.0094438,
2438.567,0.0063172,
2437.175,-0.0059037,
2435.782,0.0079515,
2434.390,-0.0076763,
2432.998,0.01438,
2431.605,-0.00021872,
2430.213,0.015378,
2428.821,-0.0033697,
2427.428,-0.0029456,
2426.036,0.0084725,
2424.644,-6.4686E-5,
2423.252,0.0071493,
2421.859,-0.00071737,
2420.467,0.034745,
2419.075,0.007284,
2417.682,0.015458,
2416.290,0.0074299,
2414.898,0.012277,
2413.505,0.0025115,
2412.113,-0.0033994,
2410.721,0.020234,
2409.328,0.0059979,
2407.936,0.0122,
2406.544,-0.004778,
2405.151,0.0068,
2403.759,-0.010352,
2402.367,0.0038524,
2400.974,0.020757,
2399.582,4.476E-5,
2398.190,0.0092643,
2396.797,0.0020263,
2395.405,0.0072463,
2394.013,-0.0019685,
2392.620,0.0055142,
2391.228,0.021012,
2389.836,-0.0058781,
2388.443,0.02058,
2387.051,0.0064576,
2385.659,0.021746,
2384.266,-0.0019988,
2382.874,0.0086472,
2381.482,0.0031685,
2380.089,0.0012134,
2378.697,0.0028166,
2377.305,0.0030113,
2375.912,0.0022559,
2374.520,0.008707,
2373.128,0.0060028,
2371.735,0.0072777,
2370.343,0.0058373,
2368.951,0.0088401,
2367.558,-0.00018803,
2366.166,0.0019113,
2364.774,-0.0072125,
2363.381,0.0023484,
2361.989,0.010265,
2360.597,0.0014897,
2359.204,0.0048229,
2357.812,-0.004681,
2356.420,0.0046867,
2355.027,0.0062928,
2353.635,0.015565,
2352.243,0.0078354,
2350.850,0.0013893,
2349.458,0.012417,
2348.066,0.0049663,
2346.673,0.01941,
2345.281,0.005486,
2343.889,0.0147,
2342.497,0.00061695,
2341.104,-0.0036208,
2339.712,0.010421,
2338.320,0.007098,
2336.927,0.02914,
2335.535,0.0030244,
2334.143,-0.0018972,
2332.750,-0.0010978,
2331.358,0.0031931,
2329.966,0.020765,
2328.573,-0.006842,
2327.181,0.008317,
2325.789,-0.0020273,
2324.396,-0.004153,
2323.004,0.0048602,
2321.612,0.0046851,
2320.219,0.0011423,
2318.827,-0.0046927,
2317.435,0.0085846,
2316.042,0.0014644,
2314.650,0.012932,
2313.258,0.009672,
2311.865,0.0041864,
2310.473,0.011355,
2309.081,-0.0013941,
2307.688,0.0082735,
2306.296,0.010616,
2304.904,0.007435,
2303.511,0.0095872,
2302.119,-0.0080962,
2300.727,0.0072889,
2299.334,0.0037816,
2297.942,-0.0004628,
2296.550,0.009587,
2295.157,0.0037939,
2293.765,0.010757,
2292.373,0.0048169,
2290.980,-0.010411,
2289.588,0.0080152,
2288.196,0.0030475,
2286.803,0.020478,
2285.411,-0.000963,
2284.019,0.0017764,
2282.626,0.0057625,
2281.234,-0.0007476,
2279.842,0.0099014,
2278.449,-0.0021276,
2277.057,-0.0028117,
2275.665,-0.0029432,
2274.272,-0.0055175,
2272.880,0.019392,
2271.488,0.0059769,
2270.095,0.01703,
2268.703,-0.0055689,
2267.311,-0.0051332,
2265.919,0.0091856,
2264.526,0.0057558,
2263.134,0.013263,
2261.742,-0.0030917,
2260.349,0.0027432,
2258.957,0.0076728,
2257.565,-0.0039287,
2256.172,0.0024864,
2254.780,0.003649,
2253.388,0.0058634,
2251.995,0.0088546,
2250.603,0.0092962,
2249.211,0.025312,
2247.818,6.1304E-5,
2246.426,0.0052348,
2245.034,0.0029699,
2243.641,-0.0098908,
2242.249,0.003719,
2240.857,0.0094019,
2239.464,0.0022166,
2238.072,0.0055375,
2236.680,0.0046192,
2235.287,0.016673,
2233.895,0.00056691,
2232.503,0.0050649,
2231.110,0.0042821,
2229.718,-0.004725,
2228.326,0.0076154,
2226.933,-2.0108E-8,
2225.541,0.0026235,
2224.149,-0.00052936,
2222.756,0.0025432,
2221.364,0.019342,
2219.972,-0.00021301,
2218.579,0.0058466,
2217.187,0.0079864,
2215.795,-0.0070321,
2214.402,0.0090332,
2213.010,-0.0012115,
2211.618,0.00073261,
2210.225,0.014106,
2208.833,-0.0058667,
2207.441,0.0070829,
2206.048,0.0053671,
2204.656,0.0094844,
2203.264,0.0057671,
2201.871,0.0022162,
2200.479,0.0085006,
2199.087,0.0077321,
2197.694,-0.0013412,
2196.302,0.0059078,
2194.910,-0.0016757,
2193.517,0.011564,
2192.125,0.008395,
2190.733,-0.00061249,
2189.340,0.0083978,
2187.948,0.006264,
2186.556,0.0032873,
2185.164,0.00077868,
2183.771,-0.010479,
2182.379,0.0059274,
2180.987,-0.0066951,
2179.594,0.0051463,
2178.202,0.0031988,
2176.810,0.0046528,
2175.417,0.01516,
2174.025,0.0051941,
2172.633,0.0044032,
2171.240,0.0029296,
2169.848,-0.00038135,
2168.456,0.0057447,
2167.063,-0.0048819,
2165.671,-0.00069607,
2164.279,0.0094228,
2162.886,-0.0021664,
2161.494,0.014773,
2160.102,6.8212E-5,
2158.709,0.0017685,
2157.317,0.013859,
2155.925,-0.0010539,
2154.532,0.003447,
2153.140,0.0041611,
2151.748,-0.00086477,
2150.355,0.0054034,
